Column1,Source,Model,Loss Type,Final Loss,STFT hop_length,STFT window_length,Model activation,Model bidirectional,Model dropout,Model hidden_size,Model num_audio_channels,Model num_layers,Model num_sources,Optimizer lr,Epochs,Epoch Length,Train Coherent Fraction,Batch Size,Test Size,Test Length,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR,STFT window_type,Model in_channels,Model init_features,Model logscale,Model out_channels,Model hop_length,Model num_features,Model num_filters,Model window_type
0,vocals,Mask,L1,0.000422947,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-4.45585482,4.209634802,-3.317161465,-10.01767758,1.012083005,-7.091687865,4.90292691,-0.6584363,10.48310332,-9.35878173,-9.359241279,-9.471020317,,,,,,,,,
2,vocals,Mask,L1,0.000396054,128,512,sigmoid,TRUE,0.3,50,1,1,1,0.001,25,25,1,10,50,5,-4.344339735,4.482007959,-3.261026335,-10.85657146,1.09113748,-8.396188689,5.014441995,-1.497330179,10.5621578,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
4,vocals,Mask,L1,0.000423557,128,512,sigmoid,TRUE,0.3,50,1,3,1,0.001,25,25,1,10,50,5,-4.594010839,4.105060165,-3.376285683,-10.28925757,0.970910492,-7.411517396,4.764770891,-0.930016289,10.44193081,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
6,vocals,Mask,L1,0.000494049,128,512,sigmoid,TRUE,0.3,50,1,5,1,0.001,25,25,1,10,50,5,-4.787651374,2.784193728,-3.381448081,-12.01523024,0.863831035,-9.543993041,4.571130356,-2.655988963,10.33485135,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
8,vocals,Mask,L1,0.00040684,128,512,sigmoid,TRUE,0.1,50,1,2,1,0.001,25,25,1,10,50,5,-4.472856713,3.442747376,-3.09702954,-9.978089965,0.954451457,-6.995760978,4.885925017,-0.618848686,10.42547177,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
10,vocals,Mask,L1,0.000425114,128,512,sigmoid,TRUE,0.5,50,1,2,1,0.001,25,25,1,10,50,5,-3.987443159,3.975972829,-2.68185868,-9.499844383,1.083497201,-6.576768758,5.371338571,-0.140603104,10.55451752,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
12,vocals,Mask,L1,0.000423686,128,512,sigmoid,TRUE,0.7,50,1,2,1,0.001,25,25,1,10,50,5,-4.532565901,3.943680195,-3.307281197,-10.42601995,0.954540145,-7.605850071,4.82621583,-1.066778674,10.42556046,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
14,vocals,Mask,L1,0.000390159,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.01,25,25,1,10,50,5,-4.040527424,4.644434807,-3.094106957,-9.543677961,1.171499482,-6.586386333,5.318254306,-0.184436682,10.6425198,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
16,vocals,Mask,L1,0.000513214,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.0001,25,25,1,10,50,5,-3.96760038,1.468459099,-2.257674706,-13.81579812,0.684669831,-12.49901064,5.391181351,-4.456556836,10.15569015,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
18,vocals,Mask,L1,0.000425542,128,512,sigmoid,TRUE,0.5,50,1,3,1,0.001,25,25,1,10,50,5,-4.764747987,3.682436771,-3.488818368,-10.85182571,0.865129601,-8.066451541,4.594033743,-1.492584426,10.33614992,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
